name,gender,email,mobileNumber
Amir Mulla,Male,amir@gmail.com,9874563210
Amit Kumar Mandal,Male,amit@gmail.com,7845963210
Anil Thapa,Male,anil@gmail.com,4589673214
John Oliver,Male,johnO@gmail.com,7896102345
Bhagvat Bhavar,Male,bhagwat@gmail.ciom,9874561230
Darshan Wawale,Male,darshanw@gmail.com,7541632598
Hrushikesh Patil,Male,hrushi@gmail.com,9874561274
Ravi ,Male,ravi@gmail.com,9685741237
Siddhesh Nikam,Male,siddhu@gmail.com,7485961237
Abhu Hafisa,Male,abuh@gmail.com,6985741238
Anurag ,Male,anurag@gmail.com,8759641230
Ankit ,Male,ankit@gmail.com,8769541230
Manish kumar,Male,manish@gmail.com,9685746985
Vinayak More,Male,vinayak@gmail.com,8596743614
Mohit,Male,mohit@gmail.com,8293715460
Priyanka,Female,priyanka@gmail.com,9874563210
